game_id,game_rating,gamename,game_release_date,game_cat,game_publisher,game_platforms
106,N/A,"Pokémon: Let’s Go, Pikachu! and Let’s Go, Eevee!",N/A,Role-Playing Game (RPG),N/A,Nintendo Switch
107,N/A,Pokkén Tournament DX,N/A,Fighting,N/A,Nintendo Switch
108,Mature,Predator: Hunting Grounds,N/A,Action,N/A,"PC, PS4"
109,N/A,Psychonauts 2,N/A,"Platformer, Adventure",N/A,"MacOS, Xbox One, PS4, Xbox Series X, PC"
110,Mature,Quantum Break,N/A,"Action, Adventure, Third-Person Shooter (TPS)",N/A,"PC, Xbox One, Xbox Series X"
111,Mature,Rage 2,N/A,First-Person Shooter (FPS),N/A,"PC, PS4, PS5, Xbox One, Xbox Series X"
112,Mature,Rainbow 6 Siege,N/A,First-Person Shooter (FPS),N/A,"PS4, PC, PS5, Xbox One"
113,N/A,Ratchet & Clank (2016),N/A,"Action, Adventure",N/A,PS4
114,N/A,Ratchet & Clank: Rift Apart,N/A,"Third-Person Shooter (TPS), Action, Platformer",N/A,PS5
115,Mature,Red Dead Redemption II,N/A,"Action, Adventure, Open World",N/A,"Xbox One, PS4, PC"
116,Mature,Resident Evil VII: Biohazard,N/A,"Survival, Horror",N/A,"Xbox One, PS4, PC"
117,Mature,Resident Evil Village,N/A,"Survival, Horror",N/A,"PS5, Xbox Series X, PS4, Xbox One"
118,N/A,Returnal,N/A,"Third-Person Shooter (TPS), Roguelike",N/A,PS5
119,Mature,Ryse: Son of Rome,N/A,"Adventure, Action",N/A,"Xbox One, Xbox Series X, PC"
120,N/A,Sea of Solitudes,N/A,Adventure,N/A,"Xbox One, PC, PS4, Nintendo Switch"
121,N/A,Sea of Thieves,N/A,"Action, Adventure",N/A,"PC, Xbox One, Xbox Series X"
122,Pause Gameplay,Severed Steel,N/A,First-Person Shooter (FPS),N/A,PC
123,N/A,Shadow of the Colossus,N/A,"Action, Adventure",N/A,"PS4, PS5"
124,Mature,Shadow of the Tomb Raider,N/A,"Action, Adventure",N/A,"Xbox One, PS4"
125,N/A,Star Wars: Battlefront II,N/A,"Third-Person Shooter (TPS), First-Person Shooter (FPS)",N/A,"PS4, PS5, Xbox One, Xbox Series X, PC"
126,N/A,Star Wars: Squadrons,N/A,Space Combat,N/A,"PC, PS4, PS5, Xbox One, Xbox Series X"
127,N/A,Stars Wars: Battlefront,N/A,"Third-Person Shooter (TPS), First-Person Shooter (FPS)",N/A,"PS5, PC, Xbox One, Xbox Series X, PS4"
128,Mature,State of Decay 2,N/A,"Survival, Open World",N/A,"Xbox One, Xbox Series X"
129,N/A,Steep,N/A,Sports Sim,N/A,"Xbox One, Xbox Series X, PC, PS4, PS5"
130,Mature,Sunset Overdrive,N/A,"Third-Person Shooter (TPS), Action, Adventure",N/A,"PC, Xbox One, Xbox Series X"
131,Pause Gameplay,Super Mario 3D World + Bower’s Fury,N/A,"Action, Adventure",N/A,Nintendo Switch
132,N/A,Super Mario Maker 2,N/A,Platformer,N/A,Nintendo Switch
133,N/A,Super Mario Odyssey,N/A,Platformer,N/A,Nintendo Switch
134,N/A,Super Mario Party,N/A,Party,N/A,Nintendo Switch
135,N/A,Tetris 99,N/A,Puzzle,N/A,Nintendo Switch
136,N/A,Tetris 99,N/A,Puzzle,N/A,Nintendo Switch
137,N/A,The Last Guardian,N/A,"Action, Adventure",N/A,PS4
138,Mature,The Last of Us Part II,N/A,"Adventure, Stealth, Horror, Third-Person Shooter (TPS), Action",N/A,PS4
139,Mature,The Last of Us Remastered,N/A,"Adventure, Stealth, Horror, Third-Person Shooter (TPS), Action",N/A,PS4
140,N/A,The Legend of Zelda: Link’s Awakening 2019,N/A,"Action, Adventure",N/A,Nintendo Switch
141,N/A,The Legend of Zelda: Skyward Sword HD,N/A,"Adventure, Action",N/A,Nintendo Switch
142,Mature,The Outer Worlds,N/A,"Role-Playing Game (RPG), Action",N/A,"Xbox One, PC, Nintendo Switch, PS4"
143,Mature,Thief,N/A,First-Person Shooter (FPS),N/A,"PS4, PS5, Xbox One"
144,Mature,Titanfall,N/A,First-Person Shooter (FPS),N/A,"Xbox One, Xbox Series X, PC"
145,Mature,Titanfall 2,N/A,First-Person Shooter (FPS),N/A,"PC, PS4, Xbox One"
146,Mature,Tom Clancy’s Ghost Recon Breakpoint,N/A,Third-Person Shooter (TPS),N/A,"PS4, Xbox One, PC"
147,Mature,Tom Clancy’s Ghost Recon: Wildlands,N/A,Third-Person Shooter (TPS),N/A,"PS4, Xbox One, PC"
148,N/A,Torchlight III,N/A,"Role-Playing Game (RPG), Action",N/A,"PC, Nintendo Switch, PS4, PS5, Xbox One, Xbox Series X"
149,N/A,UFC3,N/A,Fighting,N/A,"PS4, Xbox One"
150,N/A,Uncharted 4: A Thief’s End,N/A,"Action, Adventure, Stealth",N/A,"PS4, PS5"
151,N/A,Uncharted: The Lost Legacy,N/A,"Action, Adventure, Stealth",N/A,"PS4, PS5"
152,N/A,Uncharted: The Nathan Drake Collection,N/A,"Action, Adventure, Stealth",N/A,"PS4, PS5"
153,N/A,Unravel,N/A,"Platformer, Puzzle",N/A,"Xbox One, PC, PS4"
154,Mature,Until Dawn,N/A,"Survival, Horror",N/A,PS4
155,Mature,We Happy Few,N/A,"Action, Adventure",N/A,"PS4, Xbox One, PC, MacOS"
156,Mature,Wolfenstein II: The New Colossus,N/A,First-Person Shooter (FPS),N/A,"PS4, Xbox One"
157,Mature,Wolfenstein: The New Order,N/A,First-Person Shooter (FPS),N/A,"PS4, PS5, Xbox One, Xbox Series X, PC"
158,Mature,Wolfenstein: Youngblood,N/A,First-Person Shooter (FPS),N/A,"PS4, PS5, PC, Nintendo Switch, Xbox One, Xbox Series X"
