145,Tutorials,General,N/A,13
146,Difficulty Options,General,N/A,13
147,Fixed Save Points,General,N/A,13
148,Volume Controls,Auditory,N/A,13
149,Subtitles,Auditory,N/A,13
150,Contrast Settings,Visual,N/A,13
151,Controller Customization,Fine motor,N/A,13
152,Sticks,Fine motor,N/A,13
153,Buttons,Fine motor,N/A,13
154,Save Progress,General,N/A,14
155,Tutorials,General,N/A,14
156,Volume Controls,Auditory,N/A,14
157,Subtitles,Auditory,N/A,14
158,Contrast Settings,Visual,N/A,14
159,Pause Gameplay,General,N/A,15
160,Save Progress,General,N/A,15
161,Tutorials,General,N/A,15
162,Difficulty Options,General,N/A,15
163,Volume Controls,Auditory,N/A,15
164,Subtitles,Auditory,N/A,15
165,Contrast Settings,Visual,N/A,15
166,Controller Customization,Fine motor,N/A,15
167,Partial,Fine motor,N/A,15
168,Sticks,Fine motor,N/A,15
169,Pause Gameplay,General,N/A,16
170,Save Progress,General,N/A,16
171,Tutorials,General,N/A,16
172,Difficulty Options,General,N/A,16
173,Volume Controls,Auditory,N/A,16
174,Subtitles,Auditory,N/A,16
175,Resizable,Auditory,N/A,16
176,Background,Auditory,N/A,16
177,Contrast Settings,Visual,N/A,16
178,Adjustable Interface Text,Visual,N/A,16
179,Customize HUD Color Scheme,Color,N/A,16
180,Change Button Holds To Toggles,Fine motor,N/A,16
181,Change Repeated Taps,Fine motor,N/A,16
182,Controller Customization,Fine motor,N/A,16
183,Partial,Fine motor,N/A,16
184,Sticks,Fine motor,N/A,16
185,Buttons,Fine motor,N/A,16
186,Pause Gameplay,General,N/A,17
187,Save Progress,General,N/A,17
188,Tutorials,General,N/A,17
189,Difficulty Options,General,N/A,17
190,Fixed Save Points,General,N/A,17
191,Volume Controls,Auditory,N/A,17
192,Subtitles,Auditory,N/A,17
193,Contrast Settings,Visual,N/A,17
194,Change Button Holds To Toggles,Fine motor,N/A,17
195,Controller Customization,Fine motor,N/A,17
196,Partial,Fine motor,N/A,17
197,Keyboard Rebinding,Fine motor,N/A,17
198,Mouse Rebinding,Fine motor,N/A,17
199,Sticks,Fine motor,N/A,17
200,Buttons,Fine motor,N/A,17
201,Pause Gameplay,General,N/A,18
202,Save Progress,General,N/A,18
203,Fixed Save Points,General,N/A,18
204,Volume Controls,Auditory,N/A,18
205,Pause Gameplay,General,N/A,19
206,Save Progress,General,N/A,19
207,Dedicated Accessibility Menu,General,N/A,19
208,Tutorials,General,N/A,19
209,Difficulty Options,General,N/A,19
210,Fixed Save Points,General,N/A,19
211,Volume Controls,Auditory,N/A,19
212,Subtitles,Auditory,N/A,19
213,Resizable,Auditory,N/A,19
214,Contrast Settings,Visual,N/A,19
215,Colorblind Filters,Color,N/A,19
216,Controller Customization,Fine motor,N/A,19
217,Partial,Fine motor,N/A,19
218,Sticks,Fine motor,N/A,19
219,Buttons,Fine motor,N/A,19
220,Pause Gameplay,General,N/A,20
221,Save Progress,General,N/A,20
222,Dedicated Accessibility Menu,General,N/A,20
223,Tutorials,General,N/A,20
224,Difficulty Options,General,N/A,20
225,Fixed Save Points,General,N/A,20
226,Volume Controls,Auditory,N/A,20
227,Subtitles,Auditory,N/A,20
228,Resizable,Auditory,N/A,20
229,Background,Auditory,N/A,20
230,Contrast Settings,Visual,N/A,20
231,Colorblind Filters,Color,N/A,20
232,Change Repeated Taps,Fine motor,N/A,20
233,Quick-Time Events (QTEs),Fine motor,N/A,20
234,Controller Customization,Fine motor,N/A,20
235,Keyboard Rebinding,Fine motor,N/A,20
236,Mouse Rebinding,Fine motor,N/A,20
237,Sticks,Fine motor,N/A,20
238,Buttons,Fine motor,N/A,20
239,Pause Gameplay,General,N/A,21
240,Save Progress,General,N/A,21
241,Tutorials,General,N/A,21
242,Difficulty Options,General,N/A,21
243,Volume Controls,Auditory,N/A,21
244,Subtitles,Auditory,N/A,21
245,Resizable,Auditory,N/A,21
246,Contrast Settings,Visual,N/A,21
247,Change Button Holds To Toggles,Fine motor,N/A,21
248,Controller Customization,Fine motor,N/A,21
249,Keyboard Rebinding,Fine motor,N/A,21
250,Mouse Rebinding,Fine motor,N/A,21
251,Pause Gameplay,General,N/A,22
252,Save Progress,General,N/A,22
253,Tutorials,General,N/A,22
254,Volume Controls,Auditory,N/A,22
255,Subtitles,Auditory,N/A,22
256,Contrast Settings,Visual,N/A,22
257,Adjustable Interface Text,Visual,N/A,22
258,Colorblind Filters,Color,N/A,22
259,Controller Customization,Fine motor,N/A,22
260,Partial,Fine motor,N/A,22
261,Sticks,Fine motor,N/A,22
262,Buttons,Fine motor,N/A,22
263,Pause Gameplay,General,N/A,23
264,Internet Connection Required,General,N/A,23
265,Multiplayer Only,General,N/A,23
266,Tutorials,General,N/A,23
267,Fixed Save Points,General,N/A,23
268,Volume Controls,Auditory,N/A,23
269,Subtitles,Auditory,N/A,23
270,Resizable,Auditory,N/A,23
271,Background,Auditory,N/A,23
272,Contrast Settings,Visual,N/A,23
273,Colorblind Filters,Color,N/A,23
274,Controller Customization,Fine motor,N/A,23
275,Partial,Fine motor,N/A,23
276,Sticks,Fine motor,N/A,23
277,Buttons,Fine motor,N/A,23
278,Pause Gameplay,General,N/A,24
279,Save Progress,General,N/A,24
280,Tutorials,General,N/A,24
281,Difficulty Options,General,N/A,24
282,Volume Controls,Auditory,N/A,24
283,Subtitles,Auditory,N/A,24
284,Resizable,Auditory,N/A,24
285,Background,Auditory,N/A,24
286,Contrast Settings,Visual,N/A,24
287,Customize HUD Color Scheme,Color,N/A,24
288,Colorblind Filters,Color,N/A,24
289,Controller Customization,Fine motor,N/A,24
290,Pause Gameplay,General,N/A,25
291,Save Progress,General,N/A,25
292,Tutorials,General,N/A,25
293,Difficulty Options,General,N/A,25
294,Subtitles,Auditory,N/A,25
295,Resizable,Auditory,N/A,25
296,Contrast Settings,Visual,N/A,25
297,Pause Gameplay,General,N/A,26
298,Save Progress,General,N/A,26
299,Tutorials,General,N/A,26
300,Difficulty Options,General,N/A,26
